"pidn","tstp","plev","psex","psed","pgen","pge2","pest","psne","reg1","reg2","reg3","lab1","lab2","lab3"
73,"13/11/2024 10:29:43",2,1,1,1,1,"Bernardo O'Higgins",1,4,3,5,5,1,1
74,"13/11/2024 10:38:24",2,1,1,1,1,"Bernardo O'Higgins",1,3,4,4,5,2,2
75,"13/11/2024 10:48:51",2,2,0,2,2,"Bernardo O'Higgins",1,2,4,3,1,1,1
76,"13/11/2024 10:51:56",2,2,0,2,2,"Bernardo O'Higgins",0,5,5,5,5,1,1
77,"13/11/2024 10:54:45",2,1,1,2,3,"Bernardo O'Higgins",1,5,4,5,5,1,1
78,"13/11/2024 12:33:20",2,2,0,2,2,"Patagonia",1,3,5,4,5,1,1
79,"13/11/2024 12:34:36",2,1,1,1,1,"Patagonia",0,4,5,4,5,3,1
80,"13/11/2024 12:36:47",2,2,0,2,2,"Patagonia",0,5,5,5,5,3,1
81,"13/11/2024 12:42:11",2,1,1,1,1,"Patagonia",0,5,2,5,5,1,1
82,"13/11/2024 12:44:08",2,3,0,3,3,"Patagonia",0,5,5,5,5,1,1
83,"14/11/2024 10:17:42",1,2,0,2,2,"Luterano",0,4,4,5,5,1,4
84,"14/11/2024 10:20:10",1,1,1,1,1,"Luterano",0,4,4,5,5,3,2
85,"14/11/2024 10:23:10",1,2,0,2,2,"Luterano",0,4,4,5,5,3,2
86,"14/11/2024 10:25:51",1,1,1,1,1,"Luterano",0,4,5,2,4,2,2
87,"15/11/2024 10:11:04",4,2,0,2,2,"Punta Arenas",0,5,5,4,5,3,1
88,"15/11/2024 10:14:12",4,2,0,2,2,"Punta Arenas",0,4,4,4,5,1,1
89,"15/11/2024 10:46:10",4,2,0,2,2,"Punta Arenas",0,4,4,4,5,1,1
90,"15/11/2024 10:47:46",4,1,1,1,1,"Punta Arenas",0,4,4,5,5,1,1
91,"15/11/2024 10:48:48",4,1,1,1,1,"Punta Arenas",0,4,4,5,5,2,1
92,"18/11/2024 10:17:06",2,1,1,1,1,"Alemán",0,4,5,5,5,1,1
93,"18/11/2024 10:19:22",2,1,1,1,1,"Alemán",0,4,4,3,5,1,1
94,"18/11/2024 10:22:52",2,2,0,2,2,"Alemán",0,5,5,5,5,3,1
